Provincias	Tamaño de los municipios	Periodo	Total
Total	Total	2021	8.131
Total	Total	2020	8.131
Total	Total	2019	8.131
Total	Total	2018	8.124
Total	Total	2017	8.124
Total	Total	2016	8.125
Total	Total	2015	8.119
Total	Total	2014	8.117
Total	Total	2013	8.117
Total	Total	2012	8.116
Total	Total	2011	8.116
Total	Total	2010	8.114
Total	Total	2009	8.112
Total	Total	2008	8.112
Total	Total	2007	8.111
Total	Total	2006	8.110
Total	Total	2005	8.109
Total	Total	2004	8.109
Total	Total	2003	8.108
Total	Total	2002	8.108
Total	Total	2001	8.107
Total	Total	2000	8.104
Total	Total	1999	8.101
Total	Total	1998	8.098
Total	Total	1997	""
Total	Total	1996	8.097
Total	Menos de 101	2021	1.379
Total	Menos de 101	2020	1.399
Total	Menos de 101	2019	1.352
Total	Menos de 101	2018	1.360
Total	Menos de 101	2017	1.319
Total	Menos de 101	2016	1.286
Total	Menos de 101	2015	1.238
Total	Menos de 101	2014	1.220
Total	Menos de 101	2013	1.193
Total	Menos de 101	2012	1.135
Total	Menos de 101	2011	1.070
Total	Menos de 101	2010	1.058
Total	Menos de 101	2009	1.074
Total	Menos de 101	2008	1.036
Total	Menos de 101	2007	996
Total	Menos de 101	2006	973
Total	Menos de 101	2005	988
Total	Menos de 101	2004	961
Total	Menos de 101	2003	945
Total	Menos de 101	2002	935
Total	Menos de 101	2001	934
Total	Menos de 101	2000	928
Total	Menos de 101	1999	905
Total	Menos de 101	1998	901
Total	Menos de 101	1997	""
Total	Menos de 101	1996	851
Total	De 101 a 500	2021	2.614
Total	De 101 a 500	2020	2.605
Total	De 101 a 500	2019	2.645
Total	De 101 a 500	2018	2.627
Total	De 101 a 500	2017	2.653
Total	De 101 a 500	2016	2.652
Total	De 101 a 500	2015	2.659
Total	De 101 a 500	2014	2.661
Total	De 101 a 500	2013	2.670
Total	De 101 a 500	2012	2.687
Total	De 101 a 500	2011	2.725
Total	De 101 a 500	2010	2.743
Total	De 101 a 500	2009	2.720
Total	De 101 a 500	2008	2.750
Total	De 101 a 500	2007	2.804
Total	De 101 a 500	2006	2.855
Total	De 101 a 500	2005	2.842
Total	De 101 a 500	2004	2.867
Total	De 101 a 500	2003	2.882
Total	De 101 a 500	2002	2.888
Total	De 101 a 500	2001	2.883
Total	De 101 a 500	2000	2.879
Total	De 101 a 500	1999	2.896
Total	De 101 a 500	1998	2.900
Total	De 101 a 500	1997	""
Total	De 101 a 500	1996	2.918
Total	De 501 a 1.000	2021	1.004
Total	De 501 a 1.000	2020	1.001
Total	De 501 a 1.000	2019	1.003
Total	De 501 a 1.000	2018	1.008
Total	De 501 a 1.000	2017	1.007
Total	De 501 a 1.000	2016	1.017
Total	De 501 a 1.000	2015	1.032
Total	De 501 a 1.000	2014	1.033
Total	De 501 a 1.000	2013	1.033
Total	De 501 a 1.000	2012	1.051
Total	De 501 a 1.000	2011	1.060
Total	De 501 a 1.000	2010	1.061
Total	De 501 a 1.000	2009	1.067
Total	De 501 a 1.000	2008	1.075
Total	De 501 a 1.000	2007	1.078
Total	De 501 a 1.000	2006	1.065
Total	De 501 a 1.000	2005	1.070
Total	De 501 a 1.000	2004	1.093
Total	De 501 a 1.000	2003	1.096
Total	De 501 a 1.000	2002	1.116
Total	De 501 a 1.000	2001	1.127
Total	De 501 a 1.000	2000	1.148
Total	De 501 a 1.000	1999	1.132
Total	De 501 a 1.000	1998	1.121
Total	De 501 a 1.000	1997	""
Total	De 501 a 1.000	1996	1.134
Total	De 1.001 a 2.000	2021	874
Total	De 1.001 a 2.000	2020	867
Total	De 1.001 a 2.000	2019	877
Total	De 1.001 a 2.000	2018	877
Total	De 1.001 a 2.000	2017	889
Total	De 1.001 a 2.000	2016	909
Total	De 1.001 a 2.000	2015	905
Total	De 1.001 a 2.000	2014	917
Total	De 1.001 a 2.000	2013	912
Total	De 1.001 a 2.000	2012	926
Total	De 1.001 a 2.000	2011	936
Total	De 1.001 a 2.000	2010	927
Total	De 1.001 a 2.000	2009	928
Total	De 1.001 a 2.000	2008	936
Total	De 1.001 a 2.000	2007	942
Total	De 1.001 a 2.000	2006	943
Total	De 1.001 a 2.000	2005	956
Total	De 1.001 a 2.000	2004	968
Total	De 1.001 a 2.000	2003	985
Total	De 1.001 a 2.000	2002	980
Total	De 1.001 a 2.000	2001	1.002
Total	De 1.001 a 2.000	2000	1.005
Total	De 1.001 a 2.000	1999	1.014
Total	De 1.001 a 2.000	1998	1.015
Total	De 1.001 a 2.000	1997	""
Total	De 1.001 a 2.000	1996	1.028
Total	De 2.001 a 3.000	2021	464
Total	De 2.001 a 3.000	2020	477
Total	De 2.001 a 3.000	2019	478
Total	De 2.001 a 3.000	2018	479
Total	De 2.001 a 3.000	2017	477
Total	De 2.001 a 3.000	2016	482
Total	De 2.001 a 3.000	2015	494
Total	De 2.001 a 3.000	2014	489
Total	De 2.001 a 3.000	2013	501
Total	De 2.001 a 3.000	2012	499
Total	De 2.001 a 3.000	2011	500
Total	De 2.001 a 3.000	2010	515
Total	De 2.001 a 3.000	2009	515
Total	De 2.001 a 3.000	2008	517
Total	De 2.001 a 3.000	2007	530
Total	De 2.001 a 3.000	2006	531
Total	De 2.001 a 3.000	2005	533
Total	De 2.001 a 3.000	2004	531
Total	De 2.001 a 3.000	2003	527
Total	De 2.001 a 3.000	2002	526
Total	De 2.001 a 3.000	2001	509
Total	De 2.001 a 3.000	2000	506
Total	De 2.001 a 3.000	1999	523
Total	De 2.001 a 3.000	1998	541
Total	De 2.001 a 3.000	1997	""
Total	De 2.001 a 3.000	1996	545
Total	De 3.001 a 5.000	2021	483
Total	De 3.001 a 5.000	2020	478
Total	De 3.001 a 5.000	2019	474
Total	De 3.001 a 5.000	2018	474
Total	De 3.001 a 5.000	2017	480
Total	De 3.001 a 5.000	2016	479
Total	De 3.001 a 5.000	2015	491
Total	De 3.001 a 5.000	2014	493
Total	De 3.001 a 5.000	2013	490
Total	De 3.001 a 5.000	2012	504
Total	De 3.001 a 5.000	2011	505
Total	De 3.001 a 5.000	2010	496
Total	De 3.001 a 5.000	2009	504
Total	De 3.001 a 5.000	2008	508
Total	De 3.001 a 5.000	2007	495
Total	De 3.001 a 5.000	2006	485
Total	De 3.001 a 5.000	2005	485
Total	De 3.001 a 5.000	2004	473
Total	De 3.001 a 5.000	2003	469
Total	De 3.001 a 5.000	2002	481
Total	De 3.001 a 5.000	2001	492
Total	De 3.001 a 5.000	2000	490
Total	De 3.001 a 5.000	1999	484
Total	De 3.001 a 5.000	1998	474
Total	De 3.001 a 5.000	1997	""
Total	De 3.001 a 5.000	1996	475
Total	De 5.001 a 10.000	2021	553
Total	De 5.001 a 10.000	2020	545
Total	De 5.001 a 10.000	2019	549
Total	De 5.001 a 10.000	2018	543
Total	De 5.001 a 10.000	2017	549
Total	De 5.001 a 10.000	2016	551
Total	De 5.001 a 10.000	2015	549
Total	De 5.001 a 10.000	2014	552
Total	De 5.001 a 10.000	2013	560
Total	De 5.001 a 10.000	2012	554
Total	De 5.001 a 10.000	2011	561
Total	De 5.001 a 10.000	2010	563
Total	De 5.001 a 10.000	2009	554
Total	De 5.001 a 10.000	2008	549
Total	De 5.001 a 10.000	2007	545
Total	De 5.001 a 10.000	2006	547
Total	De 5.001 a 10.000	2005	538
Total	De 5.001 a 10.000	2004	535
Total	De 5.001 a 10.000	2003	531
Total	De 5.001 a 10.000	2002	517
Total	De 5.001 a 10.000	2001	509
Total	De 5.001 a 10.000	2000	511
Total	De 5.001 a 10.000	1999	514
Total	De 5.001 a 10.000	1998	520
Total	De 5.001 a 10.000	1997	""
Total	De 5.001 a 10.000	1996	528
Total	De 10.001 a 20.000	2021	346
Total	De 10.001 a 20.000	2020	343
Total	De 10.001 a 20.000	2019	340
Total	De 10.001 a 20.000	2018	351
Total	De 10.001 a 20.000	2017	348
Total	De 10.001 a 20.000	2016	347
Total	De 10.001 a 20.000	2015	351
Total	De 10.001 a 20.000	2014	353
Total	De 10.001 a 20.000	2013	355
Total	De 10.001 a 20.000	2012	361
Total	De 10.001 a 20.000	2011	361
Total	De 10.001 a 20.000	2010	354
Total	De 10.001 a 20.000	2009	356
Total	De 10.001 a 20.000	2008	357
Total	De 10.001 a 20.000	2007	350
Total	De 10.001 a 20.000	2006	348
Total	De 10.001 a 20.000	2005	344
Total	De 10.001 a 20.000	2004	342
Total	De 10.001 a 20.000	2003	339
Total	De 10.001 a 20.000	2002	337
Total	De 10.001 a 20.000	2001	332
Total	De 10.001 a 20.000	2000	329
Total	De 10.001 a 20.000	1999	330
Total	De 10.001 a 20.000	1998	327
Total	De 10.001 a 20.000	1997	""
Total	De 10.001 a 20.000	1996	325
Total	De 20.001 a 30.000	2021	155
Total	De 20.001 a 30.000	2020	159
Total	De 20.001 a 30.000	2019	158
Total	De 20.001 a 30.000	2018	150
Total	De 20.001 a 30.000	2017	152
Total	De 20.001 a 30.000	2016	154
Total	De 20.001 a 30.000	2015	152
Total	De 20.001 a 30.000	2014	151
Total	De 20.001 a 30.000	2013	154
Total	De 20.001 a 30.000	2012	147
Total	De 20.001 a 30.000	2011	150
Total	De 20.001 a 30.000	2010	149
Total	De 20.001 a 30.000	2009	149
Total	De 20.001 a 30.000	2008	141
Total	De 20.001 a 30.000	2007	142
Total	De 20.001 a 30.000	2006	137
Total	De 20.001 a 30.000	2005	137
Total	De 20.001 a 30.000	2004	126
Total	De 20.001 a 30.000	2003	128
Total	De 20.001 a 30.000	2002	127
Total	De 20.001 a 30.000	2001	124
Total	De 20.001 a 30.000	2000	117
Total	De 20.001 a 30.000	1999	116
Total	De 20.001 a 30.000	1998	116
Total	De 20.001 a 30.000	1997	""
Total	De 20.001 a 30.000	1996	113
Total	De 30.001 a 50.000	2021	110
Total	De 30.001 a 50.000	2020	108
Total	De 30.001 a 50.000	2019	107
Total	De 30.001 a 50.000	2018	110
Total	De 30.001 a 50.000	2017	105
Total	De 30.001 a 50.000	2016	105
Total	De 30.001 a 50.000	2015	103
Total	De 30.001 a 50.000	2014	103
Total	De 30.001 a 50.000	2013	103
Total	De 30.001 a 50.000	2012	107
Total	De 30.001 a 50.000	2011	103
Total	De 30.001 a 50.000	2010	103
Total	De 30.001 a 50.000	2009	100
Total	De 30.001 a 50.000	2008	98
Total	De 30.001 a 50.000	2007	93
Total	De 30.001 a 50.000	2006	91
Total	De 30.001 a 50.000	2005	84
Total	De 30.001 a 50.000	2004	81
Total	De 30.001 a 50.000	2003	76
Total	De 30.001 a 50.000	2002	78
Total	De 30.001 a 50.000	2001	77
Total	De 30.001 a 50.000	2000	73
Total	De 30.001 a 50.000	1999	69
Total	De 30.001 a 50.000	1998	65
